sample_id,mapping_status,candidate_ids,source_line,timestamp,rule_id,rule_level,rule_description,rule_groups,rule_mitre,agent_id,agent_name,event_id
PST-061,mapped,PST-061,23,2026-07-17T11:35:55.751+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-063,mapped,PST-063,24,2026-07-17T11:35:56.760+0200,91803,14,Screen capture method invoked from PowerShell script.,windows; powershell,"{""id"": [""T1113""], ""tactic"": [""Collection""], ""technique"": [""Screen Capture""]}",001,Windows-Host,4104
PST-069,mapped,PST-069,25,2026-07-17T11:35:58.921+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-071,mapped,PST-071,26,2026-07-17T11:35:58.931+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-076,mapped,PST-076,27,2026-07-17T11:36:01.041+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-078,mapped,PST-078,28,2026-07-17T11:36:03.188+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-081,mapped,PST-081,29,2026-07-17T11:36:04.243+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-082,mapped,PST-082,30,2026-07-17T11:36:04.249+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-084,mapped,PST-084,31,2026-07-17T11:36:05.300+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-090,mapped,PST-090,32,2026-07-17T11:36:07.355+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-094,mapped,PST-094,33,2026-07-17T11:36:10.515+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-098,mapped,PST-098,34,2026-07-17T11:36:11.586+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-101,mapped,PST-101,35,2026-07-17T11:36:12.692+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-102,mapped,PST-102,36,2026-07-17T11:36:13.694+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-103,mapped,PST-103,37,2026-07-17T11:36:13.708+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-110,mapped,PST-110,38,2026-07-17T11:36:15.960+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-112,mapped,PST-112,39,2026-07-17T11:36:16.797+0200,91844,12,Possible addition of new item to Windows startup registry,windows; powershell,"{""id"": [""T1547.001"", ""T1059.001"", ""T1112""], ""tactic"": [""Persistence"", ""Privilege Escalation"", ""Execution"", ""Defense Evasion""], ""technique"": [""Registry Run Keys / Startup Folder"", ""PowerShell"", ""Modify Registry""]}",001,Windows-Host,4104
PST-113,mapped,PST-113,40,2026-07-17T11:36:16.799+0200,91803,14,Screen capture method invoked from PowerShell script.,windows; powershell,"{""id"": [""T1113""], ""tactic"": [""Collection""], ""technique"": [""Screen Capture""]}",001,Windows-Host,4104
PST-120,mapped,PST-120,41,2026-07-17T11:36:22.775+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-127,mapped,PST-127,42,2026-07-17T11:36:28.086+0200,91824,4,Powershell collected clipboard data,windows; powershell,"{""id"": [""T1115""], ""tactic"": [""Collection""], ""technique"": [""Clipboard Data""]}",001,Windows-Host,4104
PST-129,mapped,PST-129,43,2026-07-17T11:36:29.148+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-131,mapped,PST-131,44,2026-07-17T11:36:29.160+0200,91822,12,"Powershell script used ""Invoke-command"" cmdlet to execute sub script",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-134,mapped,PST-134,45,2026-07-17T11:36:30.219+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-136,mapped,PST-136,46,2026-07-17T11:36:31.294+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-137,mapped,PST-137,47,2026-07-17T11:36:31.303+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-139,mapped,PST-139,48,2026-07-17T11:36:32.511+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-145,mapped,PST-145,49,2026-07-17T11:36:37.719+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-146,mapped,PST-146,50,2026-07-17T11:36:37.729+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-148,mapped,PST-148,51,2026-07-17T11:36:38.856+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-152,mapped,PST-152,52,2026-07-17T11:36:40.837+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-154,mapped,PST-154,53,2026-07-17T11:36:40.881+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-162,mapped,PST-162,54,2026-07-17T11:36:43.977+0200,91820,4,Powershell script recursively collected files from a filesystem search,windows; powershell,"{""id"": [""T1083"", ""T1119""], ""tactic"": [""Discovery"", ""Collection""], ""technique"": [""File and Directory Discovery"", ""Automated Collection""]}",001,Windows-Host,4104
PST-169,mapped,PST-169,55,2026-07-17T11:36:51.756+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-172,mapped,PST-172,56,2026-07-17T11:36:52.812+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-175,mapped,PST-175,57,2026-07-17T11:36:53.848+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-176,mapped,PST-176,58,2026-07-17T11:36:53.850+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-177,mapped,PST-177,59,2026-07-17T11:36:53.858+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-178,mapped,PST-178,60,2026-07-17T11:36:54.907+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-183,mapped,PST-183,61,2026-07-17T11:36:59.234+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-190,mapped,PST-190,62,2026-07-17T11:37:06.144+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-191,mapped,PST-191,63,2026-07-17T11:37:06.160+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-192,mapped,PST-192,64,2026-07-17T11:37:07.231+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-193,mapped,PST-193,65,2026-07-17T11:37:07.271+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-200,mapped,PST-200,66,2026-07-17T11:37:09.431+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-206,mapped,PST-206,67,2026-07-17T11:37:11.684+0200,91819,4,Powershell script searching filesystem,windows; powershell,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",001,Windows-Host,4104
PST-210,mapped,PST-210,68,2026-07-17T11:37:13.758+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-217,mapped,PST-217,69,2026-07-17T11:37:15.877+0200,91820,4,Powershell script recursively collected files from a filesystem search,windows; powershell,"{""id"": [""T1083"", ""T1119""], ""tactic"": [""Discovery"", ""Collection""], ""technique"": [""File and Directory Discovery"", ""Automated Collection""]}",001,Windows-Host,4104
PST-223,mapped,PST-223,70,2026-07-17T11:37:18.142+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-233,mapped,PST-233,71,2026-07-17T11:37:22.474+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-234,mapped,PST-234,72,2026-07-17T11:37:23.564+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-239,mapped,PST-239,73,2026-07-17T11:37:24.974+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-246,mapped,PST-246,74,2026-07-17T11:37:28.175+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-248,mapped,PST-248,75,2026-07-17T11:37:29.080+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-251,mapped,PST-251,76,2026-07-17T11:37:30.577+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-252,mapped,PST-252,77,2026-07-17T11:37:30.622+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-253,mapped,PST-253,78,2026-07-17T11:37:31.527+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-254,mapped,PST-254,79,2026-07-17T11:37:31.661+0200,91819,4,Powershell script searching filesystem,windows; powershell,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",001,Windows-Host,4104
PST-255,mapped,PST-255,80,2026-07-17T11:37:31.707+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-264,mapped,PST-264,81,2026-07-17T11:37:37.031+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-281,mapped,PST-281,82,2026-07-17T11:37:44.268+0200,91844,12,Possible addition of new item to Windows startup registry,windows; powershell,"{""id"": [""T1547.001"", ""T1059.001"", ""T1112""], ""tactic"": [""Persistence"", ""Privilege Escalation"", ""Execution"", ""Defense Evasion""], ""technique"": [""Registry Run Keys / Startup Folder"", ""PowerShell"", ""Modify Registry""]}",001,Windows-Host,4104
PST-286,mapped,PST-286,83,2026-07-17T11:37:45.271+0200,91837,4,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",001,Windows-Host,4104
PST-287,mapped,PST-287,84,2026-07-17T11:37:46.335+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-291,mapped,PST-291,85,2026-07-17T11:37:49.676+0200,91815,4,Powershell executing process discovery,windows; powershell,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",001,Windows-Host,4104
PST-297,mapped,PST-297,86,2026-07-17T11:37:52.232+0200,91809,10,Powershell script may be using Base64 decoding method,windows; powershell,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",001,Windows-Host,4104
PST-298,mapped,PST-298,87,2026-07-17T11:37:52.262+0200,91816,4,Powershell script querying system environment variables,windows; powershell,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",001,Windows-Host,4104
PST-299,mapped,PST-299,88,2026-07-17T11:37:52.341+0200,91820,4,Powershell script recursively collected files from a filesystem search,windows; powershell,"{""id"": [""T1083"", ""T1119""], ""tactic"": [""Discovery"", ""Collection""], ""technique"": [""File and Directory Discovery"", ""Automated Collection""]}",001,Windows-Host,4104
