id,label,class_id,source_family,source_reference_url,tactic,technique,scenario,obfuscation_type,execution_behavior,safety_class,scriptblock,expected_signal,safety_notes
BEN-028,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_service_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-028'; $scenario = 'admin_service_inventory_v2'; Get-Service | Select-Object -First 8 Name,Status; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-029,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_os_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-029'; $scenario = 'admin_os_inventory_v2'; Get-CimInstance Win32_OperatingSystem | Select-Object Caption,Version; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-030,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_bios_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-030'; $scenario = 'admin_bios_inventory_v2'; Get-CimInstance Win32_BIOS | Select-Object Manufacturer,SerialNumber; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-031,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_disk_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-031'; $scenario = 'admin_disk_inventory_v2'; Get-CimInstance Win32_LogicalDisk | Select-Object DeviceID,FreeSpace,Size; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-032,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_network_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-032'; $scenario = 'admin_network_inventory_v2'; Get-NetIPConfiguration | Select-Object -First 3 InterfaceAlias,IPv4Address; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-033,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_adapter_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-033'; $scenario = 'admin_adapter_inventory_v2'; Get-NetAdapter | Select-Object -First 5 Name,Status,MacAddress; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-034,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_eventlog_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-034'; $scenario = 'admin_eventlog_check_v2'; Get-WinEvent -LogName System -MaxEvents 5 | Select-Object Id,ProviderName; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-035,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_temp_listing,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-035'; $scenario = 'admin_temp_listing_v2'; Get-ChildItem -Path $env:TEMP -ErrorAction SilentlyContinue | Select-Object -First 5 Name; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-036,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_path_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-036'; $scenario = 'admin_path_check_v2'; Test-Path -Path $env:TEMP; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-037,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_date_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-037'; $scenario = 'admin_date_check_v2'; Get-Date | Select-Object DateTime; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-038,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_env_summary,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-038'; $scenario = 'admin_env_summary_v2'; Get-ChildItem Env: | Select-Object -First 6 Name,Value; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-039,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_localuser_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-039'; $scenario = 'admin_localuser_inventory_v2'; Get-LocalUser -ErrorAction SilentlyContinue | Select-Object -First 5 Name,Enabled; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-040,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_localgroup_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-040'; $scenario = 'admin_localgroup_inventory_v2'; Get-LocalGroup -ErrorAction SilentlyContinue | Select-Object -First 5 Name; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-041,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_firewall_profile_read,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-041'; $scenario = 'admin_firewall_profile_read_v2'; Get-NetFirewallProfile | Select-Object Name,Enabled; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-042,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_module_list,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-042'; $scenario = 'admin_module_list_v2'; Get-Module -ListAvailable | Select-Object -First 5 Name,Version; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-043,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_command_lookup,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-043'; $scenario = 'admin_command_lookup_v2'; Get-Command Get-Process | Select-Object Name,CommandType; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-044,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_json_formatting,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-044'; $scenario = 'admin_json_formatting_v2'; @{host=$env:COMPUTERNAME; user=$env:USERNAME} | ConvertTo-Json; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-045,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_csv_formatting,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-045'; $scenario = 'admin_csv_formatting_v2'; Get-Process | Select-Object -First 3 Name,Id | ConvertTo-Csv -NoTypeInformation; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-046,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_string_measure,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-046'; $scenario = 'admin_string_measure_v2'; 'routine maintenance script' | Measure-Object -Character; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-047,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_hash_string,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-047'; $scenario = 'admin_hash_string_v2'; Get-FileHash -InputStream ([IO.MemoryStream]::new([Text.Encoding]::UTF8.GetBytes('benign'))); Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-048,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_encoded_config_decode,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-048'; $scenario = 'benign_encoded_config_decode_v2'; $b='YgBlAG4AaQBnAG4AIABjAG8AbgBmAGkAZwA='; [Text.Encoding]::Unicode.GetString([Convert]::FromBase64String($b)); Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-049,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_web_uri_string_only,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-049'; $scenario = 'benign_web_uri_string_only_v2'; $uri='https://intranet.example.local/status'; Write-Output $uri; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-050,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_long_admin_string,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-050'; $scenario = 'benign_long_admin_string_v2'; $note='administrative inventory ' * 20; Write-Output $note; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-051,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_special_chars_config,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-051'; $scenario = 'benign_special_chars_config_v2'; $cfg='path=C:\Temp;mode=audit;owner=admin;enabled=true'; Write-Output $cfg; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-052,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,benign_concat_report_name,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-052'; $scenario = 'benign_concat_report_name_v2'; $name=('weekly' + '-' + 'inventory' + '-' + 'report'); Write-Output $name; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-053,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_process_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-053'; $scenario = 'admin_process_inventory_v3'; Get-Process | Select-Object -First 5 Name,Id,CPU; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-054,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_service_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-054'; $scenario = 'admin_service_inventory_v3'; Get-Service | Select-Object -First 8 Name,Status; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-055,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_os_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-055'; $scenario = 'admin_os_inventory_v3'; Get-CimInstance Win32_OperatingSystem | Select-Object Caption,Version; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-056,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_bios_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-056'; $scenario = 'admin_bios_inventory_v3'; Get-CimInstance Win32_BIOS | Select-Object Manufacturer,SerialNumber; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-057,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_disk_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-057'; $scenario = 'admin_disk_inventory_v3'; Get-CimInstance Win32_LogicalDisk | Select-Object DeviceID,FreeSpace,Size; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-058,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_network_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-058'; $scenario = 'admin_network_inventory_v3'; Get-NetIPConfiguration | Select-Object -First 3 InterfaceAlias,IPv4Address; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-059,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_adapter_inventory,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-059'; $scenario = 'admin_adapter_inventory_v3'; Get-NetAdapter | Select-Object -First 5 Name,Status,MacAddress; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-060,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_eventlog_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-060'; $scenario = 'admin_eventlog_check_v3'; Get-WinEvent -LogName System -MaxEvents 5 | Select-Object Id,ProviderName; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-061,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_temp_listing,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-061'; $scenario = 'admin_temp_listing_v3'; Get-ChildItem -Path $env:TEMP -ErrorAction SilentlyContinue | Select-Object -First 5 Name; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-062,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_path_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-062'; $scenario = 'admin_path_check_v3'; Test-Path -Path $env:TEMP; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-063,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_date_check,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-063'; $scenario = 'admin_date_check_v3'; Get-Date | Select-Object DateTime; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
BEN-064,benign,0,Local benign admin,local thesis-generated benign administration samples,Benign Administration,Benign PowerShell,admin_env_summary,none,execute_safe,benign_safe_execution,"$sampleId = 'BEN-064'; $scenario = 'admin_env_summary_v3'; Get-ChildItem Env: | Select-Object -First 6 Name,Value; Write-Output (""WAZUH_SAMPLE {0} {1}"" -f $sampleId, $scenario)",should_not_alert_unless_rule_is_broad,Benign administrative or formatting command.
